RESNET101 MODEL ACCURACY RESULTS
==================================================

Overall Accuracy: 92.02% (173/188)

Grade-wise Accuracy:
Grade 1: 95.74% (45/47)
Grade 2: 77.78% (28/36)
Grade 3: 57.14% (4/7)
Grade 4: 97.96% (96/98)

Detailed Results:

Grade 1:
  _1016895-- HFpEF liver mouse 8RR-L (3)_001.jpg: Expected 1, Predicted 1, Confidence 58.0% (CORRECT)
  _1016895-- HFpEF liver mouse 8RR-L (3)_003.jpg: Expected 1, Predicted 1, Confidence 95.6% (CORRECT)
  _1016895-- HFpEF liver mouse 8RR-L (3)_007.jpg: Expected 1, Predicted 1, Confidence 94.9% (CORRECT)
  _1016895-- HFpEF liver mouse 8RR-L (3)_011.jpg: Expected 1, Predicted 1, Confidence 98.2% (CORRECT)
  _1016895-- HFpEF liver mouse 8RR-L (3)_013.jpg: Expected 1, Predicted 1, Confidence 91.9% (CORRECT)
  _1016895-- HFpEF liver mouse 8RR-L (3)_016.jpg: Expected 1, Predicted 1, Confidence 96.7% (CORRECT)
  _1016895-- HFpEF liver mouse 8RR-L (3)_019.jpg: Expected 1, Predicted 1, Confidence 90.7% (CORRECT)
  _1016895-- HFpEF liver mouse 8RR-L (3)_021.jpg: Expected 1, Predicted 1, Confidence 91.7% (CORRECT)
  _1016896-- HFpEF liver mouse 8D-L_023.jpg: Expected 1, Predicted 1, Confidence 77.8% (CORRECT)
  _1016898-- HFpEF liver mouse 8L-L_021.jpg: Expected 1, Predicted 1, Confidence 93.2% (CORRECT)
  _1016898-- HFpEF liver mouse 8L-L_028.jpg: Expected 1, Predicted 1, Confidence 89.3% (CORRECT)
  _1016898-- HFpEF liver mouse 8L-L_032.jpg: Expected 1, Predicted 1, Confidence 88.7% (CORRECT)
  _1016900-- HFpEF liver mouse 7RR-L-12.jpg: Expected 1, Predicted 1, Confidence 95.7% (CORRECT)
  _1016900-- HFpEF liver mouse 7RR-L-14.jpg: Expected 1, Predicted 1, Confidence 69.0% (CORRECT)
  _1016900-- HFpEF liver mouse 7RR-L-15.jpg: Expected 1, Predicted 1, Confidence 91.0% (CORRECT)
  _1016900-- HFpEF liver mouse 7RR-L-24.jpg: Expected 1, Predicted 1, Confidence 97.2% (CORRECT)
  _1016900-- HFpEF liver mouse 7RR-L-3.jpg: Expected 1, Predicted 1, Confidence 88.2% (CORRECT)
  _1016900-- HFpEF liver mouse 7RR-L-7.jpg: Expected 1, Predicted 1, Confidence 91.7% (CORRECT)
  _1016900-- HFpEF liver mouse 7RR-L-8.jpg: Expected 1, Predicted 1, Confidence 77.0% (CORRECT)
  _1016900-- HFpEF liver mouse 7RR-L_001-35.jpg: Expected 1, Predicted 2, Confidence 93.2% (WRONG)
  _1016900-- HFpEF liver mouse 7RR-L_001-36.jpg: Expected 1, Predicted 1, Confidence 70.4% (CORRECT)
  _1016901-- HFpEF liver mouse 7D-L-1.jpg: Expected 1, Predicted 1, Confidence 93.9% (CORRECT)
  _1016901-- HFpEF liver mouse 7D-L-12.jpg: Expected 1, Predicted 1, Confidence 97.9% (CORRECT)
  _1016901-- HFpEF liver mouse 7D-L-13.jpg: Expected 1, Predicted 1, Confidence 92.2% (CORRECT)
  _1016901-- HFpEF liver mouse 7D-L-22.jpg: Expected 1, Predicted 1, Confidence 99.2% (CORRECT)
  _1016901-- HFpEF liver mouse 7D-L-29.jpg: Expected 1, Predicted 1, Confidence 98.6% (CORRECT)
  _1016901-- HFpEF liver mouse 7D-L-7.jpg: Expected 1, Predicted 1, Confidence 97.5% (CORRECT)
  _1016901-- HFpEF liver mouse 7D-L-8.jpg: Expected 1, Predicted 1, Confidence 97.3% (CORRECT)
  _1016902-- HFpEF liver mouse 7N-L-13.jpg: Expected 1, Predicted 1, Confidence 97.5% (CORRECT)
  _1016902-- HFpEF liver mouse 7N-L-17.jpg: Expected 1, Predicted 1, Confidence 94.1% (CORRECT)
  _1016902-- HFpEF liver mouse 7N-L-24.jpg: Expected 1, Predicted 1, Confidence 84.9% (CORRECT)
  _1016902-- HFpEF liver mouse 7N-L-28.jpg: Expected 1, Predicted 2, Confidence 57.0% (WRONG)
  _1016902-- HFpEF liver mouse 7N-L-34.jpg: Expected 1, Predicted 1, Confidence 72.7% (CORRECT)
  _1016902-- HFpEF liver mouse 7N-L-4.jpg: Expected 1, Predicted 1, Confidence 98.8% (CORRECT)
  _1016902-- HFpEF liver mouse 7N-L-7.jpg: Expected 1, Predicted 1, Confidence 52.3% (CORRECT)
  _1016902-- HFpEF liver mouse 7N-L-8.jpg: Expected 1, Predicted 1, Confidence 96.3% (CORRECT)
  _1016902-- HFpEF liver mouse 7N-L-9.jpg: Expected 1, Predicted 1, Confidence 74.8% (CORRECT)
  _1016903-- HFpEF liver mouse 7L-L-1.jpg: Expected 1, Predicted 1, Confidence 88.0% (CORRECT)
  _1016903-- HFpEF liver mouse 7L-L-10.jpg: Expected 1, Predicted 1, Confidence 89.6% (CORRECT)
  _1016903-- HFpEF liver mouse 7L-L-17.jpg: Expected 1, Predicted 1, Confidence 95.0% (CORRECT)
  _1016903-- HFpEF liver mouse 7L-L-27.jpg: Expected 1, Predicted 1, Confidence 98.1% (CORRECT)
  _1016903-- HFpEF liver mouse 7L-L-33.jpg: Expected 1, Predicted 1, Confidence 97.0% (CORRECT)
  _1016903-- HFpEF liver mouse 7L-L-4.jpg: Expected 1, Predicted 1, Confidence 93.3% (CORRECT)
  _1016904-- HFpEF liver mouse 7R-L-10.jpg: Expected 1, Predicted 1, Confidence 96.0% (CORRECT)
  _1016904-- HFpEF liver mouse 7R-L-17.jpg: Expected 1, Predicted 1, Confidence 97.5% (CORRECT)
  _1016911-- HFpEF liver mouse 5RR-L-3.jpg: Expected 1, Predicted 1, Confidence 87.8% (CORRECT)
  _1016911-- HFpEF liver mouse 5RR-L-6.jpg: Expected 1, Predicted 1, Confidence 86.6% (CORRECT)

Grade 2:
  _1016905-- HFpEF liver mouse 6RR-L_007.jpg: Expected 2, Predicted 2, Confidence 57.9% (CORRECT)
  _1016905-- HFpEF liver mouse 6RR-L_010.jpg: Expected 2, Predicted 2, Confidence 98.7% (CORRECT)
  _1016905-- HFpEF liver mouse 6RR-L_013.jpg: Expected 2, Predicted 2, Confidence 96.3% (CORRECT)
  _1016905-- HFpEF liver mouse 6RR-L_016.jpg: Expected 2, Predicted 1, Confidence 61.9% (WRONG)
  _1016905-- HFpEF liver mouse 6RR-L_019.jpg: Expected 2, Predicted 2, Confidence 62.1% (CORRECT)
